data_year,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3,checked_cars,driven_avg,driven_med
2019,2008,Volvo,V70,17.56,Taka-akselisto,Ohjausnivelet ja -tangot,Käyttöjarru,4452,285000,275000
2019,2008,Volvo,XC60,11.99,,,,267,242000,238000
2019,2008,Volvo,XC70,13.14,Ohjausnivelet ja -tangot,Taka-akselisto,Käyttöjarru,875,272000,267000
2019,2008,Volvo,XC90,31.16,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Etuakselisto,337,249000,244000
2019,2009,Audi,A3,12.43,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD),1078,170000,162000
2019,2009,Audi,A4,10.84,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,2519,213000,207000
2019,2009,Audi,A5,8.81,Etuakselisto,,,420,185000,181000
2019,2009,Audi,A6,11.53,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet,1266,235000,230000
2019,2009,Audi,Q5,9.38,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru,565,211000,205000
2019,2009,Audi,Q7,16.1,,,,118,223000,218000
2019,2009,BMW,1,20.3,Taka-akselisto,Jousitus ja iskunvaimennus,Käyttöjarru,680,165000,158000
2019,2009,BMW,3,25.31,Taka-akselisto,Jousitus ja iskunvaimennus,Käyttöjarru,2077,204000,198000
2019,2009,BMW,5,20.92,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,Käyttöjarru,1558,243000,235000
2019,2009,BMW,7,15.67,Etuakselisto,,,134,192000,193000
2019,2009,BMW,X3,16.95,Jousitus ja iskunvaimennus,,,118,214000,209000
2019,2009,BMW,X5,15.69,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet,306,219000,217000
2019,2009,BMW,X6,11.81,Etuakselisto,,,144,227000,206000
2019,2009,Chevrolet,AVEO,31.31,Etuakselisto,Käyttöjarrun dynamometritesti,Ohjausnivelet ja -tangot,396,113000,107000
2019,2009,Chevrolet,NUBIRA,32.34,Käyttöjarru,Käyttöjarrun dynamometritesti,,136,185000,175000
2019,2009,Chrysler,300C,41.12,Etuakselisto,Seisontajarrun dynamometritesti,Taka-akselisto,107,192000,179000
2019,2009,Citroen,BERLINGO,25.95,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru,158,195000,191000
2019,2009,Citroen,C2,13.89,,,,108,102000,100000
2019,2009,Citroen,C3,11.85,Etuakselisto,,,211,104000,96000
