Käyttöönottovuosi,Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2009,Skoda,OCTAVIA,4.0,Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
2009,Volkswagen,GOLF,4.0,Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet
2009,Toyota,COROLLA,4.1,Dieselmoottorin pakokaasumittaus,Seisontajarrun dynamometritesti,Käyttöjarru
2009,Honda,CIVIC,4.2,Käyttöjarru,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
2009,Toyota,URBAN CRUISER,4.2,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2009,Ford,KUGA,4.4,,,
2009,Audi,A3,4.4,Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet,Jousitus ja iskunvaimennus
2009,Toyota,YARIS,4.4,,,
2009,Mitsubishi,LANCER,4.8,,,
2009,Volkswagen,POLO,4.8,Käyttöjarru,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti
2009,Audi,A6,4.8,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet,Etuakselisto
2009,Volvo,S80,5.2,,,
2009,Ford,FUSION,5.2,,,
2009,Skoda,YETI,5.2,,,
2009,Subaru,LEGACY,5.2,,,
2009,Toyota,AYGO,5.4,,,
2009,Toyota,PRIUS,5.4,Käyttöjarru,Seisontajarrun dynamometritesti,Etuakselisto
2009,Mazda,3,5.4,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
2009,Peugeot,107,5.5,,,
2009,Volvo,S40,5.5,Renkaat ja vanteet,Etuakselisto,Seisontajarrun dynamometritesti
2009,Skoda,SUPERB,5.6,Renkaat ja vanteet,Etuakselisto,Taka-akselisto
2009,Volkswagen,PASSAT,5.9,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus
2009,Ford,FOCUS C-MAX,6.0,,,
2009,Honda,ACCORD,6.2,Käyttöjarru,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
2009,Volvo,C70,6.3,,,
2009,Seat,IBIZA,6.5,,,
2009,Kia,SPORTAGE,6.5,,,
2009,Volkswagen,SCIROCCO,6.8,,,
2009,Suzuki,SX4,6.9,,,
2009,BMW,X6,7.0,Etuakselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
2009,Volvo,V50,7.0,Etuakselisto,Renkaat ja vanteet,Jousitus ja iskunvaimennus
2009,Honda,CR-V,7.1,Käyttöjarru,Jousitus ja iskunvaimennus,Renkaat ja vanteet
2009,Nissan,MICRA,7.1,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
2009,Opel,ASTRA,7.2,Jousitus ja iskunvaimennus,Käyttöjarru,Seisontajarrun dynamometritesti
2009,Toyota,RAV4,7.3,Jousitus ja iskunvaimennus,Käyttöjarru,Seisontajarrun dynamometritesti
2009,Skoda,ROOMSTER,7.3,,,
2009,Skoda,FABIA,7.4,Ohjausnivelet ja -tangot,Käyttöjarru,Etuakselisto
2009,Seat,ALTEA,7.4,,,
2009,Volvo,V70,7.9,Käyttöjarru,Ohjausnivelet ja -tangot,Renkaat ja vanteet
2009,Mini,COOPER/ ONE,8.1,,,
2009,Mercedes-Benz,C,8.1,Seisontajarrun dynamometritesti,Etuakselisto,Käyttöjarru
2009,Mazda,6,8.2,Käyttöjarru,Etuakselisto,Seisontajarrun dynamometritesti
