,model_year,brand,model,checked_cars,fail_pct,driven_avg,driven_med,reason_1,reason_2,reason_3
1046,2009,Mercedes-Benz,SPRINTER,163,29.45,391000,420000,Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot,Käyttöjarru
1047,2009,Mini,COOPER,261,10.34,108000,103000,,,
1048,2009,Mitsubishi,COLT,175,5.14,96000,88000,,,
1049,2009,Mitsubishi,LANCER,324,12.04,128000,118000,Ohjausnivelet ja -tangot,,
1050,2009,Mitsubishi,OUTLANDER,233,15.88,182000,184000,Käyttöjarru,Ohjausnivelet ja -tangot,Etuakselisto
1051,2009,Nissan,MICRA,267,10.86,88000,78000,Etuakselisto,,
1052,2009,Nissan,NOTE,332,18.98,111000,103000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
1053,2009,Nissan,QASHQAI,1658,20.52,141000,133000,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
1054,2009,Nissan,QASHQAI+2,695,35.97,170000,159000,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru
1055,2009,Nissan,TIIDA,664,23.48,102000,99000,Etuakselisto,Käyttöjarru,Jousitus ja iskunvaimennus
1056,2009,Nissan,X-TRAIL,171,16.38,176000,167000,Etuakselisto,,
1057,2009,Opel,ASTRA,1148,14.55,133000,128000,Jousitus ja iskunvaimennus,Käyttöjarru,Seisontajarrun dynamometritesti
1058,2009,Opel,CORSA,232,22.4,110000,104000,Jousitus ja iskunvaimennus,,
1059,2009,Opel,INSIGNIA,1196,13.38,168000,164000,Jousitus ja iskunvaimennus,Käyttöjarru,Käyttöjarrun dynamometritesti
1060,2009,Opel,VECTRA,119,31.94,202000,185000,Jousitus ja iskunvaimennus,,
1061,2009,Opel,ZAFIRA,136,22.06,182000,181000,Taka-akselisto,,
1062,2009,Peugeot,107,143,9.79,85000,80000,,,
1063,2009,Peugeot,206,296,17.9,90000,84000,Ohjausnivelet ja -tangot,Etuakselisto,Taka-akselisto
1064,2009,Peugeot,207,722,20.08,115000,105000,Käyttöjarrun dynamometritesti,Dieselmoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
1065,2009,Peugeot,3008,458,23.58,157000,152000,Etuakselisto,Käyttöjarru,Ohjausnivelet ja -tangot
1066,2009,Peugeot,308,1088,19.67,145000,141000,Etuakselisto,Käyttöjarru,
1067,2009,Peugeot,407,424,17.45,169000,160000,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
1068,2009,Renault,CLIO,338,26.62,93000,90000,Ohjausnivelet ja -tangot,Etuakselisto,Jousitus ja iskunvaimennus
1069,2009,Renault,LAGUNA,155,16.12,165000,158000,Jousitus ja iskunvaimennus,,
1070,2009,Renault,MEGANE,574,17.06,127000,120000,Käyttöjarru,Etuakselisto,Jousitus ja iskunvaimennus
1071,2009,Renault,MEGANE SCENIC,129,28.69,160000,151000,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru
1072,2009,Saab,9-3,333,18.02,173000,170000,Jousitus ja iskunvaimennus,,
1073,2009,Saab,9-5,112,15.18,198000,181000,,,
1074,2009,Seat,ALTEA XL,193,19.69,178000,180000,Jousitus ja iskunvaimennus,,
1075,2009,Seat,EXEO,119,13.45,169000,162000,,,
1076,2009,Seat,IBIZA,293,6.48,119000,112000,,,
1077,2009,Seat,LEON,233,11.16,159000,154000,Jousitus ja iskunvaimennus,,
1078,2009,Skoda,FABIA,539,12.06,129000,117000,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
1079,2009,Skoda,OCTAVIA,4471,7.36,171000,163000,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus
1080,2009,Skoda,ROOMSTER,117,11.11,136000,133000,,,
1081,2009,Skoda,SUPERB,1057,9.37,206000,199000,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Etuakselisto
1082,2009,Skoda,YETI,132,9.85,174000,175000,,,
1083,2009,Subaru,FORESTER,515,23.69,183000,180000,Taka-akselisto,Etuakselisto,Käyttöjarru
1084,2009,Subaru,LEGACY,285,11.93,178000,177000,Taka-akselisto,,
1085,2009,Suzuki,ALTO,160,7.5,85000,82000,,,
1086,2009,Suzuki,GRAND VITARA,127,5.51,139000,138000,,,
1087,2009,Suzuki,SWIFT,100,9.0,96000,95000,,,
1088,2009,Suzuki,SX4,213,14.08,113000,108000,Jousitus ja iskunvaimennus,,
1089,2009,Toyota,AURIS,1658,7.54,131000,123000,Seisontajarrun dynamometritesti,Käyttöjarru,Dieselmoottorin pakokaasumittaus
