,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3
292,2010,Nissan,MICRA,3.29,,,
293,2010,Audi,A1,3.31,,,
294,2010,Mitsubishi,ASX,3.45,,,
295,2010,Honda,CR-V,3.62,Käyttöjarru,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
296,2010,Toyota,AVENSIS,4.02,,,
297,2010,Audi,A6,4.03,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
298,2010,Honda,JAZZ,4.28,Käyttöjarru,Lähivalo,Bensiinimoottorin pakokaasumittaus
299,2010,Toyota,LAND CRUISER,4.33,,,
300,2010,Citroen,C1,4.38,,,
301,2010,Audi,A5,4.53,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
302,2010,Toyota,VERSO,4.55,Seisontajarrun dynamometritesti,Renkaat ja vanteet,Käyttöjarrun dynamometritesti
303,2010,Volvo,XC60,4.562,,,
304,2010,Mercedes-Benz,M,4.85,,,
305,2010,Volvo,S60,4.86,,,
306,2010,Skoda,YETI,4.89,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Käyttöjarru
307,2010,Toyota,YARIS,4.91,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Käyttöjarru
308,2010,Mitsubishi,COLT,4.92,,,
309,2010,Volkswagen,TIGUAN,5.03,Jousitus ja iskunvaimennus,Etuakselisto,Asiapaperit
310,2010,Seat,EXEO,5.066,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru
311,2010,Volvo,S40,5.22,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Etuakselisto
312,2010,Suzuki,ALTO,5.36,,,
313,2010,Mitsubishi,LANCER,5.45,,,
314,2010,Toyota,URBAN CRUISER,5.504,Käyttöjarru,Asiapaperit,Sisäinen valvontajärjestelmä (OBD)
315,2010,Honda,ACCORD,5.69,Käyttöjarru,Renkaat ja vanteet,Jousitus ja iskunvaimennus
